cs350,23,2020-10-16,4,Progress Tracking,https://unco.zoom.us/rec/play/7CXxv88ARcL2zyeU6Id4lmsFGD9DFqNGWPu0_2ZOxz1xuRTbrG2T6XSvGPStoFwU0tTEi5P0--Ocxfwh.cbCboaaPTwDgJT51
cs350,24,2020-10-19,5,Milestone 5,https://unco.zoom.us/rec/play/WsErRwJOaUZm1ilZ02SDq4LJZh0DRNXelbt17-DWtHqeW5N6bePSerzGCw-5wU8QLG50_7bukgEJZg9s.aqXCVBcrQGmmGIuL
cs350,25,2020-10-21,5,Requirements,https://unco.zoom.us/rec/play/0bQ0JdcxbU6iZ3h9f0UZb2WA9YsCIdzTE-mhTsZp5-ZtLCUMY5nhDfPRI5Qf0EDboio0V2rdoHwdnLvf.90EJP5ChiaXT9dHh
cs350,26,2020-10-23,5,Design,https://unco.zoom.us/rec/play/-lwjIL_3HGRrIOHd-m580_XYWDK3FhRwZa04OhdigKWDxUUUMRg9dCCWA87x4Imhlm6yE1i3YAqS-ZFS.nZgr7BhWimcXozEA
cs350,27,2020-10-26,5,Code,https://unco.zoom.us/rec/play/jyhNR906sfAjDIOZgs6s9-3WIWYy7k6W5acEyYU8BZKMJ3PYSToQdSqvGoctC4fGiaVEUz4r3sQgNGSn.zwNwNw6CnEejAxWS
cs350,28,2020-10-28,5,Test,https://unco.zoom.us/rec/play/jyhNR906sfAjDIOZgs6s9-3WIWYy7k6W5acEyYU8BZKMJ3PYSToQdSqvGoctC4fGiaVEUz4r3sQgNGSn.zwNwNw6CnEejAxWS
cs350,29,2020-10-30,5,View Tests,https://unco.zoom.us/rec/play/kW5OQEFuJ9egTQ7PSISe8q9DQRhoUqvrAm8SU1M5MhhvNq8_LiartNxnSfIA9ibT6-V3E6hdJmJ8Mj1F.Z3I0w6N2ArIkIxBT
cs350,30,2020-11-02,6,Milestone 6 - Release,https://unco.zoom.us/rec/play/2og7IlgfOzmXw0_cNkGGMtP16vjkpb2x0xqcESpMjRz-s1HxvsE8TFx4fq2Z-n7tiDMFiZozipv7Z2tI.so_FdhCSyocyGKw4
cs350,31,2020-11-04,6,Requirements - Release,https://unco.zoom.us/rec/play/CUFV_fZd5USaVxpsHwseWK6Wo27Yun1vk2ypn3fEwhSV6XjMrq8mB0P5CUenNp885EronjZOp5_3eDqn.tUUDkWYeLZpPO0vo
cs350,32,2020-11-06,6,Design - Release,https://unco.zoom.us/rec/play/N6wcBZBo1I5K4wkgF3dTmNQJvzGRnaUbFJYIkjkHGJ66nLc7O_TdWermhPzI5bqoPI5B5IXgk2zcTUvV.faPjJgQX_8-La8yv
cs350,33,2020-11-09,6,Code - Release,https://unco.zoom.us/rec/play/O3YpJjxglp7j0z91GbIPF7nzDfna_Ulhdz8obY43nouQ5v43whF2bgPhWBowPHi10zQwIU7V1RB7X72R.D2AwAlAScd-Rg-P0
cs350,34,2020-11-11,6,Test - Release,https://unco.zoom.us/rec/play/370XRL_KqNn9W4Pn3Fj-4a2hJCRlmEz-vEdvyqvR3OuBPVOMaR7Avn57f72W-yztMh94jXXS9rsEY-X3.2JskFCOlPsd8nYB8
cs350,35,2020-11-13,6,Code Release,https://unco.zoom.us/rec/play/-sC9QYr639rx25_HUyIrjS5jGPglxY7wiCmvncJcAZ4ijwZuN95WCKoQVa42nZy38KRVdCw11TncTaCS.yzwXYAS5IfeP3W_Q
cs350,36,2020-11-16,7,SMS Twitter Review,https://unco.zoom.us/j/96630908573
cs350,37,2020-11-18,7,Capture Webapp Review,https://unco.zoom.us/j/96630908573
cs350,38,2020-11-20,7,ElBow Space  Review,https://unco.zoom.us/j/96630908573
cs350,39,2020-11-30,7,ShopLocal Review,https://unco.zoom.us/j/96630908573
cs350,40,2020-12-02,7,Easel Review,https://unco.zoom.us/j/96630908573
cs350,41,2020-12-04,7,Software Engineering,https://unco.zoom.us/j/96630908573
cs350,42,2020-12-04,7,Software Engineering,https://unco.zoom.us/j/96630908573
